event_date,revenue,orders,active_users,sessions
2026-01-01,5234.83,18,201,204
2026-01-02,6105.36,16,214,222
2026-01-03,4601.6,19,211,217
2026-01-04,4482.5599999999995,21,209,216
2026-01-05,4427.62,22,202,207
2026-01-06,3720.64,16,193,203
2026-01-07,995.21,9,192,196
2026-01-08,3697.6,18,194,203
2026-01-09,3863.2000000000003,14,212,219
2026-01-10,1796.3200000000002,15,214,228
2026-01-11,7140.18,23,199,210
2026-01-12,7303.84,22,216,221
2026-01-13,4065.14,13,187,196
2026-01-14,3936.32,16,179,189
2026-01-15,5003.56,16,194,198
2026-01-16,1716.25,8,173,181
2026-01-17,2307.12,12,207,211
2026-01-18,5620.33,17,206,221
2026-01-19,3185.81,15,213,226
2026-01-20,1841.3999999999999,9,197,200
2026-01-21,5905.21,19,197,200
2026-01-22,4291.13,14,181,190
2026-01-23,3311.9,17,208,217
2026-01-24,7309.700000000001,20,188,195
2026-01-25,6070.08,21,212,222
2026-01-26,4778.24,13,200,210
2026-01-27,2524.58,13,194,202
2026-01-28,5339.08,20,206,215
2026-01-29,4228.41,12,179,186
2026-01-30,4467.69,17,169,175
2026-01-31,5817.57,20,188,199
2026-02-01,5596.83,22,218,225
2026-02-02,4367.18,15,225,235
2026-02-03,7345.21,25,213,225
2026-02-04,4756.15,13,188,199
2026-02-05,4314.44,15,205,211
2026-02-06,3744.2000000000003,15,204,210
2026-02-07,3342.96,17,192,200
2026-02-08,5510.34,17,173,179
2026-02-09,4535.21,17,180,192
2026-02-10,4864.27,17,180,189
2026-02-11,4534.08,16,198,203
2026-02-12,5374.98,17,216,223
2026-02-13,5689.6,21,191,201
2026-02-14,3559.93,13,210,219
2026-02-15,6596.4,21,230,240
2026-02-16,6982.38,26,210,219
2026-02-17,2441.64,16,193,198
2026-02-18,8271.24,20,221,230
2026-02-19,4383.47,16,191,202
2026-02-20,4539.6,14,207,218
2026-02-21,5722.62,21,208,217
2026-02-22,7236.65,22,188,198
2026-02-23,5641.08,12,198,205
2026-02-24,4700.84,14,186,189
2026-02-25,3880.83,16,191,203
2026-02-26,7317.38,26,217,226
2026-02-27,3246.79,13,188,191
2026-02-28,4862.37,14,222,231
2026-03-01,4451.79,15,197,201
2026-03-02,6401.95,24,204,220
2026-03-03,7655.03,27,222,228
2026-03-04,4155.09,20,203,211
2026-03-05,2984.52,13,182,192
2026-03-06,3602.4,12,183,192
2026-03-07,5357.349999999999,17,217,230
2026-03-08,3235.6800000000003,13,194,203
2026-03-09,6813.97,15,195,202
2026-03-10,2077.36,11,198,203
2026-03-11,6588.52,17,190,196
2026-03-12,5764.04,20,204,213
2026-03-13,5291.74,11,193,200
2026-03-14,5668.84,20,203,212
2026-03-15,5331.9,15,203,215
2026-03-16,5066.95,17,214,230
2026-03-17,6487.12,21,210,223
2026-03-18,6019.77,19,196,210
2026-03-19,3286.6,12,178,185
2026-03-20,4535.41,14,195,204
2026-03-21,4700.74,12,197,204
2026-03-22,6834.51,25,204,212
2026-03-23,5163.51,24,209,217
2026-03-24,4445.32,14,177,185
2026-03-25,3060.32,15,214,219
2026-03-26,4040.11,13,212,221
2026-03-27,4549.94,14,208,212
2026-03-28,7176.38,18,226,236
2026-03-29,5163.44,19,204,217
2026-03-30,2528.63,9,193,205
2026-03-31,4624.13,17,225,232
2026-04-01,7725.0,22,197,206
2026-04-02,4863.22,17,209,224
2026-04-03,6018.24,17,213,219
2026-04-04,5198.68,15,187,193
2026-04-05,6789.35,23,206,215
2026-04-06,7145.48,22,233,244
2026-04-07,5684.98,19,191,195
2026-04-08,3787.5,16,205,215
2026-04-09,5440.860000000001,19,206,213
2026-04-10,3851.64,16,194,205
2026-04-11,5182.52,18,205,213
2026-04-12,3941.05,12,190,199
2026-04-13,4008.84,14,198,209
2026-04-14,2637.79,10,213,218
2026-04-15,4388.2,15,214,225
2026-04-16,5193.47,23,194,202
2026-04-17,8002.73,24,217,223
2026-04-18,6082.02,23,212,221
2026-04-19,5979.21,19,195,200
2026-04-20,7387.84,21,229,245
2026-04-21,5215.08,16,207,221
2026-04-22,6590.16,23,200,208
2026-04-23,4670.46,18,229,236
2026-04-24,3973.0,14,208,212
2026-04-25,4042.21,16,216,221
2026-04-26,3305.4500000000003,15,190,200
2026-04-27,5426.26,18,170,177
2026-04-28,3894.71,18,224,235
2026-04-29,6259.13,26,206,217
