date,month,channel,region,category,device,revenue_usd,profit_usd,orders,sessions,marketing_spend_usd,conversion_rate,aov_usd,cac_usd,roas,gross_margin_pct
2025-01-01,2025-01,Direct,Buenos Aires,Beauty,Mobile,32.6,12.98,1,27,0.0,0.037037037037037035,32.6,0.0,,0.39815950920245397
2025-01-01,2025-01,Direct,Buenos Aires,Electronics,Mobile,107.12,27.41,1,27,0.0,0.037037037037037035,107.12,0.0,,0.25588125466766243
2025-01-01,2025-01,Direct,Buenos Aires,Electronics,Tablet,146.76,56.51,1,27,0.0,0.037037037037037035,146.76,0.0,,0.38505042245843557
2025-01-01,2025-01,Direct,Buenos Aires,Fashion,Desktop,112.88,39.95,2,53,0.0,0.03773584905660377,56.44,0.0,,0.3539156626506024
2025-01-01,2025-01,Direct,Buenos Aires,Fashion,Mobile,54.47,15.44,1,27,0.0,0.037037037037037035,54.47,0.0,,0.28345878465210206
2025-01-01,2025-01,Direct,Buenos Aires,Home & Deco,Tablet,30.61,10.34,1,27,0.0,0.037037037037037035,30.61,0.0,,0.3377981051943809
2025-01-01,2025-01,Direct,Buenos Aires,Sports,Mobile,169.57999999999998,52.01,2,53,0.0,0.03773584905660377,84.78999999999999,0.0,,0.30669890317254395
2025-01-01,2025-01,Direct,Buenos Aires,Supermarket,Mobile,36.13,10.82,1,27,0.0,0.037037037037037035,36.13,0.0,,0.29947412122889566
2025-01-01,2025-01,Direct,Centro,Beauty,Mobile,73.19,22.64,2,53,0.0,0.03773584905660377,36.595,0.0,,0.309331875939336
2025-01-01,2025-01,Direct,Centro,Home & Deco,Desktop,95.92,30.92,1,27,0.0,0.037037037037037035,95.92,0.0,,0.3223519599666389
2025-01-01,2025-01,Direct,Cuyo,Electronics,Desktop,108.25,38.38,1,27,0.0,0.037037037037037035,108.25,0.0,,0.3545496535796767
2025-01-01,2025-01,Direct,Cuyo,Fashion,Desktop,45.51,14.59,1,27,0.0,0.037037037037037035,45.51,0.0,,0.32058888156449133
2025-01-01,2025-01,Direct,Cuyo,Sports,Mobile,96.78,39.17,1,27,0.0,0.037037037037037035,96.78,0.0,,0.40473238272370327
2025-01-01,2025-01,Direct,NOA,Electronics,Mobile,126.23,51.1,1,27,0.0,0.037037037037037035,126.23,0.0,,0.4048166046106314
2025-01-01,2025-01,Direct,NOA,Fashion,Mobile,49.54,19.76,1,27,0.0,0.037037037037037035,49.54,0.0,,0.39886960032297136
2025-01-01,2025-01,Direct,Patagonia,Fashion,Mobile,36.71,15.31,1,27,0.0,0.037037037037037035,36.71,0.0,,0.41705257423045494
2025-01-01,2025-01,Direct,Patagonia,Home & Deco,Desktop,100.48,33.61,1,27,0.0,0.037037037037037035,100.48,0.0,,0.33449442675159236
2025-01-01,2025-01,Email,Buenos Aires,Beauty,Desktop,36.04,8.5,1,16,0.7138117635612182,0.0625,36.04,0.7138117635612182,50.48950135004201,0.2358490566037736
2025-01-01,2025-01,Email,Buenos Aires,Electronics,Mobile,428.21,138.6,3,49,2.1414352906836545,0.061224489795918366,142.73666666666665,0.7138117635612181,199.96401565946627,0.3236729641998085
2025-01-01,2025-01,Email,Buenos Aires,Fashion,Mobile,109.2,31.93,2,33,1.4276235271224365,0.06060606060606061,54.6,0.7138117635612182,76.49075398757753,0.2923992673992674
2025-01-01,2025-01,Email,Buenos Aires,Fashion,Tablet,36.58,11.33,1,16,0.7138117635612182,0.0625,36.58,0.7138117635612182,51.24600331255652,0.30973209404045926
2025-01-01,2025-01,Email,Buenos Aires,Home & Deco,Mobile,88.03,31.13,1,16,0.7138117635612182,0.0625,88.03,0.7138117635612182,123.32382918546611,0.35362944450755424
2025-01-01,2025-01,Email,Buenos Aires,Sports,Desktop,72.57,13.17,1,16,0.7138117635612182,0.0625,72.57,0.7138117635612182,101.66545818458792,0.18147995039272427
2025-01-01,2025-01,Email,Buenos Aires,Sports,Mobile,75.99,26.96,1,16,0.7138117635612182,0.0625,75.99,0.7138117635612182,106.4566372805131,0.35478352414791425
2025-01-01,2025-01,Email,Buenos Aires,Supermarket,Desktop,37.85,10.61,1,16,0.7138117635612182,0.0625,37.85,0.7138117635612182,53.02518385402581,0.2803170409511228
2025-01-01,2025-01,Email,Buenos Aires,Supermarket,Mobile,61.120000000000005,22.21,2,33,1.4276235271224365,0.06060606060606061,30.560000000000002,0.7138117635612182,42.81240736008002,0.3633835078534031
2025-01-01,2025-01,Email,Buenos Aires,Supermarket,Tablet,34.44,10.75,1,16,0.7138117635612182,0.0625,34.44,0.7138117635612182,48.24801405370275,0.31213704994192804
2025-01-01,2025-01,Email,Centro,Beauty,Mobile,43.69,15.15,1,16,0.7138117635612182,0.0625,43.69,0.7138117635612182,61.20661248566414,0.34676127260242623
2025-01-01,2025-01,Email,Centro,Electronics,Mobile,101.68,30.39,1,16,0.7138117635612182,0.0625,101.68,0.7138117635612182,142.4465176823605,0.2988788355625492
2025-01-01,2025-01,Email,Centro,Electronics,Tablet,147.76,46.74,1,16,0.7138117635612182,0.0625,147.76,0.7138117635612182,207.00135181693142,0.31632376827287495
2025-01-01,2025-01,Email,Centro,Fashion,Desktop,60.86,20.86,1,16,0.7138117635612182,0.0625,60.86,0.7138117635612182,85.26057303450492,0.3427538613210647
2025-01-01,2025-01,Email,Centro,Fashion,Mobile,56.16,13.69,1,16,0.7138117635612182,0.0625,56.16,0.7138117635612182,78.6762041015083,0.24376780626780628
2025-01-01,2025-01,Email,Centro,Home & Deco,Desktop,78.76,30.57,1,16,0.7138117635612182,0.0625,78.76,0.7138117635612182,110.33721216230049,0.38814118842051804
2025-01-01,2025-01,Email,Centro,Home & Deco,Mobile,100.3,22.06,1,16,0.7138117635612182,0.0625,100.3,0.7138117635612182,140.51323488926786,0.21994017946161515
2025-01-01,2025-01,Email,Cuyo,Home & Deco,Desktop,74.7,27.62,1,16,0.7138117635612182,0.0625,74.7,0.7138117635612182,104.64943814783959,0.36974564926372155
2025-01-01,2025-01,Email,Cuyo,Home & Deco,Mobile,53.79,18.25,1,16,0.7138117635612182,0.0625,53.79,0.7138117635612182,75.35600104380578,0.33928239449711844
