event_id,event_timestamp,event_date,user_id,session_id,event_type,product_id,category,quantity,revenue,order_id,country,device_type,traffic_source
evt_00000001,2026-01-05T17:27:41,2026-01-05,user_00457,user_00457_sess_0087,search,product_0102,Home,1,0.0,,Mexico,desktop,email
evt_00000002,2026-01-08T00:56:54,2026-01-08,user_00103,user_00103_sess_0414,page_view,product_0043,Home,1,0.0,,Brazil,mobile,email
evt_00000003,2026-01-28T14:29:36,2026-01-28,user_01127,user_01127_sess_0279,checkout,product_0144,Grocery,3,0.0,,Chile,desktop,paid_search
evt_00000004,2026-02-23T06:24:20,2026-02-23,user_01004,user_01004_sess_0021,checkout,product_0325,Books,1,0.0,,Brazil,desktop,direct
evt_00000005,2026-01-17T23:08:40,2026-01-17,user_00915,user_00915_sess_0032,page_view,product_0052,Books,1,0.0,,Colombia,mobile,paid_search
evt_00000006,2026-04-20T19:21:14,2026-04-20,user_00572,user_00572_sess_0311,search,product_0359,Electronics,1,0.0,,Colombia,mobile,direct
evt_00000007,2026-03-03T16:30:24,2026-03-03,user_00420,user_00420_sess_0528,add_to_cart,product_0058,Electronics,1,0.0,,Argentina,desktop,paid_search
evt_00000008,2026-02-25T21:32:35,2026-02-25,user_02234,user_02234_sess_0104,page_view,product_0306,Sports,1,0.0,,Chile,desktop,organic
evt_00000009,2026-02-08T16:33:58,2026-02-08,user_00357,user_00357_sess_0560,search,product_0338,Fashion,3,0.0,,Argentina,mobile,direct
evt_00000010,2026-02-08T23:25:16,2026-02-08,user_02419,user_02419_sess_0439,page_view,product_0078,Beauty,1,0.0,,Brazil,mobile,paid_search
evt_00000011,2026-01-22T12:24:47,2026-01-22,user_01729,user_01729_sess_0050,page_view,product_0199,Sports,1,0.0,,Argentina,mobile,email
evt_00000012,2026-03-11T13:36:47,2026-03-11,user_00131,user_00131_sess_0206,search,product_0052,Books,1,0.0,,Chile,mobile,social
evt_00000013,2026-01-17T18:45:53,2026-01-17,user_00123,user_00123_sess_0289,page_view,product_0380,Electronics,1,0.0,,Chile,mobile,organic
evt_00000014,2026-02-18T04:25:34,2026-02-18,user_00384,user_00384_sess_0582,page_view,product_0094,Books,2,0.0,,Uruguay,mobile,organic
evt_00000015,2026-04-16T23:55:48,2026-04-16,user_00896,user_00896_sess_0516,add_to_cart,product_0004,Toys,1,0.0,,Brazil,mobile,paid_search
evt_00000016,2026-03-27T03:17:04,2026-03-27,user_00953,user_00953_sess_0055,page_view,product_0310,Books,3,0.0,,Mexico,mobile,organic
evt_00000017,2026-03-26T23:54:47,2026-03-26,user_02070,user_02070_sess_0264,add_to_cart,product_0060,Sports,2,0.0,,Brazil,mobile,social
