date,order_id,channel,region,category,device,revenue_usd,profit_usd,discount_pct,sessions_allocated,marketing_spend_allocated,month
2025-01-01,100000,Organic Search,Cuyo,Beauty,Mobile,32.58,12.37,20,23.235294117647058,0.0,2025-01
2025-01-01,100001,Organic Search,Buenos Aires,Electronics,Mobile,135.08,33.76,5,23.235294117647058,0.0,2025-01
2025-01-01,100002,Organic Search,Cuyo,Electronics,Mobile,78.18,22.63,0,23.235294117647058,0.0,2025-01
2025-01-01,100003,Organic Search,Patagonia,Electronics,Mobile,112.89,24.94,5,23.235294117647058,0.0,2025-01
2025-01-01,100004,Organic Search,Buenos Aires,Supermarket,Tablet,31.35,7.93,15,23.235294117647058,0.0,2025-01
2025-01-01,100005,Organic Search,Buenos Aires,Beauty,Mobile,41.88,16.68,0,23.235294117647058,0.0,2025-01
2025-01-01,100006,Organic Search,Buenos Aires,Beauty,Mobile,30.62,9.53,5,23.235294117647058,0.0,2025-01
2025-01-01,100007,Organic Search,Buenos Aires,Supermarket,Desktop,41.85,9.5,0,23.235294117647058,0.0,2025-01
2025-01-01,100008,Organic Search,Buenos Aires,Home & Deco,Mobile,85.09,32.24,0,23.235294117647058,0.0,2025-01
2025-01-01,100009,Organic Search,Buenos Aires,Home & Deco,Mobile,87.85,36.62,0,23.235294117647058,0.0,2025-01
2025-01-01,100010,Organic Search,Patagonia,Electronics,Mobile,105.03,36.72,15,23.235294117647058,0.0,2025-01
2025-01-01,100011,Organic Search,Cuyo,Sports,Mobile,51.29,16.9,15,23.235294117647058,0.0,2025-01
2025-01-01,100012,Organic Search,Buenos Aires,Electronics,Mobile,125.82,44.68,0,23.235294117647058,0.0,2025-01
2025-01-01,100013,Organic Search,Cuyo,Supermarket,Mobile,34.98,11.01,10,23.235294117647058,0.0,2025-01
2025-01-01,100014,Organic Search,Patagonia,Fashion,Mobile,49.77,9.26,0,23.235294117647058,0.0,2025-01
2025-01-01,100015,Organic Search,Buenos Aires,Electronics,Mobile,117.07,28.08,15,23.235294117647058,0.0,2025-01
2025-01-01,100016,Organic Search,Centro,Sports,Mobile,41.64,10.39,0,23.235294117647058,0.0,2025-01
2025-01-01,100017,Organic Search,Buenos Aires,Supermarket,Desktop,36.76,8.26,15,23.235294117647058,0.0,2025-01
2025-01-01,100018,Organic Search,NOA,Fashion,Desktop,52.87,13.55,15,23.235294117647058,0.0,2025-01
2025-01-01,100019,Organic Search,Buenos Aires,Electronics,Mobile,143.79,43.51,0,23.235294117647058,0.0,2025-01
2025-01-01,100020,Organic Search,Centro,Electronics,Mobile,142.75,58.0,0,23.235294117647058,0.0,2025-01
2025-01-01,100021,Organic Search,Buenos Aires,Fashion,Desktop,49.03,11.79,20,23.235294117647058,0.0,2025-01
2025-01-01,100022,Organic Search,Centro,Home & Deco,Mobile,80.66,26.32,0,23.235294117647058,0.0,2025-01
2025-01-01,100023,Organic Search,Centro,Electronics,Mobile,129.29,38.46,0,23.235294117647058,0.0,2025-01
